origen,destino,distancia_km,factor_trafico,peso,tipo_ruta
V2_1,V2_0,0.109,1.0,0.109,conexion-vial-cercana
V2_1,V2_2,0.169,1.0,0.169,conexion-vial-cercana
V2_1,V52_0,0.403,1.0,0.403,conexion-vial-cercana
V2_1,V54_2,0.403,1.0,0.403,conexion-vial-cercana
V2_1,V55_2,0.403,1.0,0.403,conexion-vial-cercana
V2_1,V54_0,0.462,1.0,0.462,conexion-vial-cercana
V2_1,V54_1,0.462,1.0,0.462,conexion-vial-cercana
V2_1,V78_0,0.546,1.0,0.546,conexion-vial-cercana
V2_2,V2_1,0.169,1.0,0.169,conexion-vial-cercana
V2_2,V2_0,0.269,1.0,0.269,conexion-vial-cercana
V2_2,V55_2,0.421,1.0,0.421,conexion-vial-cercana
V2_2,V52_1,0.495,1.0,0.495,conexion-vial-cercana
V2_2,V78_0,0.56,1.0,0.56,conexion-vial-cercana
V2_2,V52_0,0.565,1.0,0.565,conexion-vial-cercana
V2_2,V54_2,0.565,1.0,0.565,conexion-vial-cercana
V2_2,V3_2,0.574,1.0,0.574,conexion-vial-cercana
V3_0,V79_0,1.664,1.0,1.664,conexion-vial-cercana
V3_0,V79_1,1.724,1.0,1.724,conexion-vial-cercana
V3_0,V79_2,1.746,1.0,1.746,conexion-vial-cercana
V3_0,V3_1,1.886,1.0,1.886,conexion-vial-cercana
V3_0,V54_0,2.504,1.0,2.504,conexion-vial-cercana
V3_0,V54_1,2.504,1.0,2.504,conexion-vial-cercana
V3_0,V2_1,2.569,1.0,2.569,conexion-vial-cercana
V3_0,V52_0,2.583,1.0,2.583,conexion-vial-cercana
V3_1,V3_2,0.961,1.0,0.961,conexion-vial-cercana
V3_1,V2_2,1.037,1.0,1.037,conexion-vial-cercana
V3_1,V2_1,1.079,1.0,1.079,conexion-vial-cercana
V3_1,V2_0,1.164,1.0,1.164,conexion-vial-cercana
V3_1,V54_0,1.355,1.0,1.355,conexion-vial-cercana
V3_1,V54_1,1.355,1.0,1.355,conexion-vial-cercana
V3_1,V52_0,1.365,1.0,1.365,conexion-vial-cercana
V3_1,V54_2,1.365,1.0,1.365,conexion-vial-cercana
V3_2,V2_2,0.574,1.0,0.574,conexion-vial-cercana
V3_2,V55_1,0.709,1.0,0.709,conexion-vial-cercana
V3_2,V52_1,0.715,1.0,0.715,conexion-vial-cercana
V3_2,V2_1,0.739,1.0,0.739,conexion-vial-cercana
V3_2,V52_2,0.807,1.0,0.807,conexion-vial-cercana
V3_2,V55_0,0.814,1.0,0.814,conexion-vial-cercana
V3_2,V53_0,0.834,1.0,0.834,conexion-vial-cercana
V3_2,V2_0,0.843,1.0,0.843,conexion-vial-cercana
V4_0,V25_0,0.051,1.0,0.051,conexion-vial-cercana
V4_0,V25_1,0.151,1.0,0.151,conexion-vial-cercana
V4_0,V25_2,0.191,1.0,0.191,conexion-vial-cercana
V4_0,V4_1,0.197,1.0,0.197,conexion-vial-cercana
V4_0,V4_2,0.327,1.0,0.327,conexion-vial-cercana
V4_0,V0_2,0.982,1.0,0.982,conexion-vial-cercana
V4_0,V0_1,1.186,1.0,1.186,conexion-vial-cercana
V4_0,V6_2,1.371,1.0,1.371,conexion-vial-cercana
V4_1,V25_2,0.015,1.0,0.015,conexion-vial-cercana
V4_1,V25_1,0.047,1.0,0.047,conexion-vial-cercana
V4_1,V4_2,0.134,1.0,0.134,conexion-vial-cercana
V4_1,V25_0,0.147,1.0,0.147,conexion-vial-cercana
V4_1,V4_0,0.197,1.0,0.197,conexion-vial-cercana
V4_1,V0_2,1.113,1.0,1.113,conexion-vial-cercana
V4_1,V0_1,1.315,1.0,1.315,conexion-vial-cercana
V4_1,V6_2,1.394,1.0,1.394,conexion-vial-cercana
V4_2,V4_1,0.134,1.0,0.134,conexion-vial-cercana
V4_2,V25_2,0.136,1.0,0.136,conexion-vial-cercana
V4_2,V25_1,0.177,1.0,0.177,conexion-vial-cercana
V4_2,V25_0,0.276,1.0,0.276,conexion-vial-cercana
V4_2,V4_0,0.327,1.0,0.327,conexion-vial-cercana
V4_2,V0_2,1.236,1.0,1.236,conexion-vial-cercana
V4_2,V0_1,1.437,1.0,1.437,conexion-vial-cercana
V4_2,V6_2,1.466,1.0,1.466,conexion-vial-cercana
V5_0,V46_0,0.0,1.0,0.0,conexion-vial-cercana
V5_0,V48_0,0.017,1.0,0.017,conexion-vial-cercana
V5_0,V46_1,0.032,1.0,0.032,conexion-vial-cercana
V5_0,V48_1,0.051,1.0,0.051,conexion-vial-cercana
V5_0,V46_2,0.059,1.0,0.059,conexion-vial-cercana
V5_0,V5_1,0.076,1.0,0.076,conexion-vial-cercana
V5_0,V48_2,0.115,1.0,0.115,conexion-vial-cercana
V5_0,V5_2,0.122,1.0,0.122,conexion-vial-cercana
V5_1,V46_2,0.024,1.0,0.024,conexion-vial-cercana
V5_1,V46_1,0.045,1.0,0.045,conexion-vial-cercana
V5_1,V5_2,0.046,1.0,0.046,conexion-vial-cercana
V5_1,V48_0,0.063,1.0,0.063,conexion-vial-cercana
V5_1,V5_0,0.076,1.0,0.076,conexion-vial-cercana
V5_1,V46_0,0.076,1.0,0.076,conexion-vial-cercana
V5_1,V48_1,0.09,1.0,0.09,conexion-vial-cercana
V5_1,V47_0,0.091,1.0,0.091,conexion-vial-cercana
V5_2,V47_0,0.045,1.0,0.045,conexion-vial-cercana
V5_2,V5_1,0.046,1.0,0.046,conexion-vial-cercana
V5_2,V46_2,0.068,1.0,0.068,conexion-vial-cercana
V5_2,V46_1,0.091,1.0,0.091,conexion-vial-cercana
V5_2,V47_1,0.106,1.0,0.106,conexion-vial-cercana
V5_2,V48_0,0.108,1.0,0.108,conexion-vial-cercana
V5_2,V5_0,0.122,1.0,0.122,conexion-vial-cercana
V5_2,V46_0,0.122,1.0,0.122,conexion-vial-cercana
V6_0,V6_1,0.127,1.0,0.127,conexion-vial-cercana
V6_0,V6_2,0.258,1.0,0.258,conexion-vial-cercana
V6_0,V1_0,0.489,1.0,0.489,conexion-vial-cercana
V6_0,V1_1,0.725,1.0,0.725,conexion-vial-cercana
V6_0,V1_2,0.778,1.0,0.778,conexion-vial-cercana
V6_0,V0_1,1.034,1.0,1.034,conexion-vial-cercana
V6_0,V0_2,1.058,1.0,1.058,conexion-vial-cercana
V6_0,V67_0,1.108,1.0,1.108,conexion-vial-cercana
V6_1,V6_0,0.127,1.0,0.127,conexion-vial-cercana
V6_1,V6_2,0.132,1.0,0.132,conexion-vial-cercana
V6_1,V1_0,0.6,1.0,0.6,conexion-vial-cercana
V6_1,V1_1,0.805,1.0,0.805,conexion-vial-cercana
V6_1,V1_2,0.854,1.0,0.854,conexion-vial-cercana
V6_1,V0_1,0.913,1.0,0.913,conexion-vial-cercana
V6_1,V0_2,0.932,1.0,0.932,conexion-vial-cercana
V6_1,V67_2,1.059,1.0,1.059,conexion-vial-cercana
V6_2,V6_1,0.132,1.0,0.132,conexion-vial-cercana
V6_2,V6_0,0.258,1.0,0.258,conexion-vial-cercana
V6_2,V1_0,0.721,1.0,0.721,conexion-vial-cercana
V6_2,V0_1,0.789,1.0,0.789,conexion-vial-cercana
V6_2,V0_2,0.801,1.0,0.801,conexion-vial-cercana
V6_2,V1_1,0.9,1.0,0.9,conexion-vial-cercana
V6_2,V1_2,0.944,1.0,0.944,conexion-vial-cercana
V6_2,V0_0,1.009,1.0,1.009,conexion-vial-cercana
V7_0,V7_1,0.532,1.0,0.532,conexion-vial-cercana
V7_0,V19_2,1.019,1.0,1.019,conexion-vial-cercana
V7_0,V11_0,1.09,1.0,1.09,conexion-vial-cercana
V7_0,V16_0,1.09,1.0,1.09,conexion-vial-cercana
V7_0,V16_1,1.109,1.0,1.109,conexion-vial-cercana
V7_0,V16_2,1.117,1.0,1.117,conexion-vial-cercana
V7_0,V17_1,1.117,1.0,1.117,conexion-vial-cercana
V7_0,V17_2,1.119,1.0,1.119,conexion-vial-cercana
